query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,100,STAR,4,0,9,0.0244,0.0011,236
IntLog,100,STAR,4,0,10,0.0156,0.0000,None
IntLog,100,STAR,4,0,11,0.0200,0.0000,None
IntLog,100,STAR,4,0,12,0.0178,0.0000,None
IntLog,100,STAR,4,0,13,0.0167,0.0000,None
IntLog,100,STAR,4,0,14,0.0244,0.0044,373
IntLog,100,STAR,4,0,15,0.0211,0.0022,21
IntLog,100,STAR,4,0,16,0.0311,0.0056,5
IntLog,100,STAR,4,0,17,0.0167,0.0011,685
IntLog,100,STAR,4,0,18,0.0244,0.0033,112
IntLog,100,STAR,4,0,19,0.0167,0.0022,71
IntLog,100,STAR,5,0,0,0.0000,0.0000,None
IntLog,100,STAR,5,0,1,0.0000,0.0000,None
IntLog,100,STAR,5,0,2,0.0000,0.0000,None
IntLog,100,STAR,5,0,3,0.0011,0.0000,None
IntLog,100,STAR,5,0,4,0.0000,0.0000,None
IntLog,100,STAR,5,0,5,0.0000,0.0000,None
IntLog,100,STAR,5,0,6,0.0011,0.0000,None
IntLog,100,STAR,5,0,7,0.0000,0.0000,None
IntLog,100,STAR,5,0,8,0.0000,0.0000,None
IntLog,100,STAR,5,0,9,0.0000,0.0000,None
IntLog,100,STAR,5,0,10,0.0000,0.0000,None
IntLog,100,STAR,5,0,11,0.0000,0.0000,None
IntLog,100,STAR,5,0,12,0.0000,0.0000,None
IntLog,100,STAR,5,0,13,0.0000,0.0000,None
IntLog,100,STAR,5,0,14,0.0000,0.0000,None
IntLog,100,STAR,5,0,15,0.0011,0.0000,None
IntLog,100,STAR,5,0,16,0.0000,0.0000,None
IntLog,100,STAR,5,0,17,0.0000,0.0000,None
IntLog,100,STAR,5,0,18,0.0000,0.0000,None
IntLog,100,STAR,5,0,19,0.0000,0.0000,None
IntLog,1000,STAR,4,0,0,0.0178,0.0011,111
IntLog,1000,STAR,4,0,1,0.0278,0.0044,120
IntLog,1000,STAR,4,0,2,0.0311,0.0022,301
IntLog,1000,STAR,4,0,3,0.0367,0.0033,622
IntLog,1000,STAR,4,0,4,0.0189,0.0000,None
IntLog,1000,STAR,4,0,5,0.0200,0.0011,338
IntLog,1000,STAR,4,0,6,0.0189,0.0011,635
IntLog,1000,STAR,4,0,7,0.0267,0.0033,274
IntLog,1000,STAR,4,0,8,0.0211,0.0011,277
IntLog,1000,STAR,4,0,9,0.0200,0.0044,52
IntLog,1000,STAR,4,0,10,0.0233,0.0011,244
IntLog,1000,STAR,4,0,11,0.0233,0.0022,157
IntLog,1000,STAR,4,0,12,0.0244,0.0011,149
IntLog,1000,STAR,4,0,13,0.0144,0.0000,None
IntLog,1000,STAR,4,0,14,0.0333,0.0000,None
IntLog,1000,STAR,4,0,15,0.0156,0.0011,407
IntLog,1000,STAR,4,0,16,0.0289,0.0011,342
IntLog,1000,STAR,4,0,17,0.0333,0.0022,22
IntLog,1000,STAR,4,0,18,0.0311,0.0022,229
IntLog,1000,STAR,4,0,19,0.0289,0.0022,828
