vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,15,726
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,16,678
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,17,609
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,18,622
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,19,739
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,0,935
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,1,991
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,2,977
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,3,833
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,4,935
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,5,913
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,6,945
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,7,935
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,8,1089
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,9,1124
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,10,1142
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,11,1048
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,12,1059
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,13,1132
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,14,935
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,15,959
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,16,969
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,17,897
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,18,1016
IBMQ,Tket,1,CHAIN,0.05,Any_gates,7,19,1136
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,0,407
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,1,505
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,2,479
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,3,479
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,4,460
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,5,479
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,6,491
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,7,407
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,8,388
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,9,479
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,10,505
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,11,479
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,12,448
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,13,388
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,14,530
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,15,388
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,16,448
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,17,491
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,18,460
IBMQ,Tket,1,CHAIN,0.05,Native_gates,4,19,460
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,0,832
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,1,871
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,2,923
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,3,755
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,4,884
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,5,875
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,6,833
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,7,915
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,8,762
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,9,755
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,10,840
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,11,813
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,12,860
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,13,853
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,14,884
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,15,884
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,16,840
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,17,752
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,18,853
IBMQ,Tket,1,CHAIN,0.05,Native_gates,5,19,944
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,0,901
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,1,1151
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,2,1205
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,3,1217
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,4,1138
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,5,901
IBMQ,Tket,1,CHAIN,0.05,Native_gates,6,6,901
